tags,title,idauthor,author
0,"['O', 'D', 'G', 'E']",optimal adoption of complementary technologies,p00681,boyan jovanovic
0,"['O', 'D', 'G', 'E']",optimal adoption of complementary technologies, p01338, dmitriy stolyarov
1,"['G', 'E']",collateral damage: effects of the japanese bank crisis on real activity in the united states,p01546,eric rosengren
1,"['G', 'E']",collateral damage: effects of the japanese bank crisis on real activity in the united states, p02544, joe peek
2,['J'],endogenous inequality in integrated labor markets with two-sided search,p00544,avner shaked
2,['J'],endogenous inequality in integrated labor markets with two-sided search, p01874, george mailath
2,['J'],endogenous inequality in integrated labor markets with two-sided search, p03092, larry samuelson
3,"['J', 'R']","labor-market integration, investment in risky human capital, and fiscal competition",p01266,david wildasin
4,"['P', 'E', 'I', 'D']",unequal societies: income distribution and the social contract,p04639,roland benabou
5,"['H', 'I']","mobility, targeting, and private-school vouchers",p05227,thomas nechyba
6,['G'],"liberalization, moral hazard in banking, and prudential regulation: are capital requirements enough?",p02781,joseph stiglitz
6,['G'],"liberalization, moral hazard in banking, and prudential regulation: are capital requirements enough?", p03006, kevin murdock
6,['G'],"liberalization, moral hazard in banking, and prudential regulation: are capital requirements enough?", p05211, thomas hellmann
7,"['D', 'C']","erc: a theory of equity, reciprocity, and competition",p00546,axel ockenfels
7,"['D', 'C']","erc: a theory of equity, reciprocity, and competition", p01832, gary bolton
8,"['O', 'D']",the choice between market failures and corruption,p01145,daron acemoglu
8,"['O', 'D']",the choice between market failures and corruption, p05191, thierry verdier
9,['Q'],elephants,p00848,charles morcom
9,['Q'],elephants, p03699, michael kremer
10,"['O', 'E', 'D']",saving and growth with habit formation,p00933,christopher carroll
10,"['O', 'E', 'D']",saving and growth with habit formation, p01262, david weil
10,"['O', 'E', 'D']",saving and growth with habit formation, p02542, jody overland
11,['E'],tax policy and aggregate demand management under catching up with the joneses,p02049,harald uhlig
11,['E'],tax policy and aggregate demand management under catching up with the joneses, p03097, lars ljungqvist
12,['E'],habit formation in consumption and its implications for monetary-policy models,p02431,jeffrey fuhrer
13,"['E', 'D']",habit formation in consumer preferences: evidence from panel data,p02910,karen dynan
14,"['G', 'E']",what do a million observations on banks say about the transmission of monetary policy?,p00381,anil kashyap
14,"['G', 'E']",what do a million observations on banks say about the transmission of monetary policy?, p02464, jeremy stein
15,['E'],federal reserve information and the behavior of interest rates,p00918,christina romer
15,['E'],federal reserve information and the behavior of interest rates, p01247, david romer
16,['E'],what inventory behavior tells us about business cycles,p02303,james kahn
16,['E'],what inventory behavior tells us about business cycles, p03438, mark bils
17,['E'],job destruction and propagation of shocks,p01826,garey ramey
17,['E'],job destruction and propagation of shocks, p02551, joel watson
17,['E'],job destruction and propagation of shocks, p05519, wouter den haan
18,['D'],efficiency and information aggregation in auctions,p02465,jeroen swinkels
18,['D'],efficiency and information aggregation in auctions, p05513, wolfgang pesendorfer
19,"['E', 'Q']","ownership risk, investment, and the use of natural resources",p02085,henning bohn
19,"['E', 'Q']","ownership risk, investment, and the use of natural resources", p04531, robert deacon
20,['L'],standardization in decentralized economies,p01502,emmanuelle auriol
20,['L'],standardization in decentralized economies, p03743, michel benaim
21,"['L', 'J']",orchestrating impartiality: the impact of blind auditions on female musicians,p00818,cecilia rouse
21,"['L', 'J']",orchestrating impartiality: the impact of blind auditions on female musicians, p00993, claudia goldin
22,['F'],wage shocks and north american labor-market integration,p04442,raymond robertson
23,"['J', 'D']",mentoring and diversity,p00930,christopher avery
23,"['J', 'D']",mentoring and diversity, p04248, peter zemsky
23,"['J', 'D']",mentoring and diversity, p05093, susan athey
24,"['G', 'E']",asset pricing with distorted beliefs: are equity returns too good to be true?,p03893,nelson mark
24,"['G', 'E']",asset pricing with distorted beliefs: are equity returns too good to be true?, p04326, pok-sang lam
24,"['G', 'E']",asset pricing with distorted beliefs: are equity returns too good to be true?, p05013, stephen cecchetti
25,"['O', 'J']","population, technology, and growth: from malthusian stagnation to the demographic transition and beyond",p01262,david weil
25,"['O', 'J']","population, technology, and growth: from malthusian stagnation to the demographic transition and beyond", p03986, oded galor
26,"['O', 'B']",endogenous growth and cross-country income differences,p04208,peter howitt
27,"['O', 'F']","aid, policies, and growth",p01037,craig burnside
27,"['O', 'F']","aid, policies, and growth", p01181, david dollar
28,['O'],a reassessment of the relationship between inequality and growth,p03055,kristin forbes
29,"['O', 'J']","intelligence, social mobility, and growth",p02608,john hassler
29,"['O', 'J']","intelligence, social mobility, and growth", p02745, jose rodriguez mora
30,"['O', 'E']",a representative consumer theory of distribution,p01730,francesco caselli
30,"['O', 'E']",a representative consumer theory of distribution, p02371, jaume ventura
31,"['L', 'H', 'D']",meetings with costly participation,p02441,jeffrey rosenthal
31,"['L', 'H', 'D']",meetings with costly participation, p03515, martin osborne
31,"['L', 'H', 'D']",meetings with costly participation, p03591, matthew turner
32,"['L', 'G', 'D']",motivating wealth-constrained actors,p01249,david sappington
32,"['L', 'G', 'D']",motivating wealth-constrained actors, p05342, tracy lewis
33,['F'],does exchange-rate stability increase trade and welfare?,p01551,eric van wincoop
33,['F'],does exchange-rate stability increase trade and welfare?, p04277, philippe bacchetta
34,"['N', 'G']",market contagion: evidence from the panics of 1854 and 1857,p01028,cormac grada
34,"['N', 'G']",market contagion: evidence from the panics of 1854 and 1857, p03817, morgan kelly
35,['E'],monetary aggregates and output,p01699,finn kydland
35,['E'],monetary aggregates and output, p04776, scott freeman
36,['E'],"endogenous business cycles and the dynamics of output, hours, and consumption",p05004,stephanie schmitt-grohe
37,"['O', 'J']",does schooling cause growth?,p03438,mark bils
37,"['O', 'J']",does schooling cause growth?, p04212, peter klenow
38,"['O', 'J']","schooling, labor-force quality, and the growth of nations",p01301,dennis kimko
38,"['O', 'J']","schooling, labor-force quality, and the growth of nations", p01535, eric hanushek
39,"['L', 'H', 'I']",does competition among public schools benefit students and taxpayers?,p00797,caroline hoxby
40,"['L', 'F']",globalization and vertical structure,p02626,john mclaren
41,['F'],diversity and trade,p01851,gene grossman
41,['F'],diversity and trade, p01925, giovanni maggi
42,"['N', 'F']",economic integration and political disintegration,p00101,alberto alesina
42,"['N', 'F']",economic integration and political disintegration, p01511, enrico spolaore
42,"['N', 'F']",economic integration and political disintegration, p04646, romain wacziarg
43,"['J', 'E']",the determinants of equilibrium unemployment,p01519,eran yashiv
44,"['J', 'E']",aggregate employment fluctuations with microeconomic asymmetries,p02425,jeffrey campbell
44,"['J', 'E']",aggregate employment fluctuations with microeconomic asymmetries, p02676, jonas fisher
45,['J'],performance pay and productivity,p01417,edward lazear
46,"['J', 'D', 'H']",the personal discount rate: evidence from military downsizing programs,p02663,john warner
46,"['J', 'D', 'H']",the personal discount rate: evidence from military downsizing programs, p04767, saul pleeter
47,"['O', 'G']",dividends and expropriation,p03091,larry lang
47,"['O', 'G']",dividends and expropriation, p03180, leslie young
47,"['O', 'G']",dividends and expropriation, p03326, mara faccio
48,"['H', 'G']",naive diversification strategies in defined contribution saving plans,p04508,richard thaler
48,"['H', 'G']",naive diversification strategies in defined contribution saving plans, p04883, shlomo benartzi
49,"['G', 'D']",who should buy long-term bonds?,p02579,john campbell
49,"['G', 'D']",who should buy long-term bonds?, p03273, luis viceira
50,"['H', 'D']",the effects of investing social security funds in the stock market when fixed costs prevent some households from holding stocks,p00325,andrew abel
51,"['O', 'E']","habit persistence, asset returns, and the business cycle",p02676,jonas fisher
51,"['O', 'E']","habit persistence, asset returns, and the business cycle", p03142, lawrence christiano
51,"['O', 'E']","habit persistence, asset returns, and the business cycle", p03750, michele boldrin
52,['E'],monetary policy and multiple equilibria,p02472,jess benhabib
52,['E'],monetary policy and multiple equilibria, p03525, martin uribe
52,['E'],monetary policy and multiple equilibria, p05004, stephanie schmitt-grohe
53,"['J', 'E']",what hides behind an unemployment rate: comparing portuguese and u.s. labor markets,p04009,olivier blanchard
53,"['J', 'E']",what hides behind an unemployment rate: comparing portuguese and u.s. labor markets, p04180, pedro portugal
54,['D'],local discouragement and global collapse: a theory of coordination avalanches,p01046,curtis taylor
54,['D'],local discouragement and global collapse: a theory of coordination avalanches, p05215, thomas jeitschko
55,"['H', 'D']",the provision of public goods under alternative electoral incentives,p00130,alessandro lizzeri
55,"['H', 'D']",the provision of public goods under alternative electoral incentives, p03926, nicola persico
56,['O'],proofs and prototypes for sale: the licensing of university inventions,p03411,marie thursby
56,['O'],proofs and prototypes for sale: the licensing of university inventions, p04497, richard jensen
57,"['H', 'D']",gamma discounting,p03528,martin weitzman
58,"['N', 'L']","rules, communication, and collusion: narrative evidence from the sugar institute case",p01191,david genesove
58,"['N', 'L']","rules, communication, and collusion: narrative evidence from the sugar institute case", p05454, wallace mullin
59,"['D', 'Q']",auctions with resale markets: an application to u.s. forest service timber sales,p04261,philip haile
60,['L'],"vertical integration, market foreclosure, and consumer welfare in the cable television industry",p05155,tasneem chipty
61,"['L', 'D']",information gatekeepers on the internet and the competitiveness of homogeneous product markets,p02630,john morgan
61,"['L', 'D']",information gatekeepers on the internet and the competitiveness of homogeneous product markets, p03667, michael baye
62,"['D', 'C']",costly predation and the distribution of competence,p02584,john conlisk
63,"['L', 'D']",a theory of buyer-seller networks,p01289,deborah minehart
63,"['L', 'D']",a theory of buyer-seller networks, p04362, rachel kranton
64,['D'],the value of information in efficient risk-sharing arrangements,p01421,edward schlee
65,"['J', 'M', 'D']",optimal incentives for teams,p04834,seung-weon yoo
65,"['J', 'M', 'D']",optimal incentives for teams, p05575, yeon-koo che
66,['D'],the optimal allocation of prizes in contests,p00374,aner sela
66,['D'],the optimal allocation of prizes in contests, p00626, benny moldovanu
67,"['Z', 'J', 'L', 'Q']",competition and custom in economic contracts: a case study of illinois agriculture,p03532,mary burke
67,"['Z', 'J', 'L', 'Q']",competition and custom in economic contracts: a case study of illinois agriculture, p04256, peyton young
68,"['H', 'E']",simulating fundamental tax reform in the united states,p00076,alan auerbach
68,"['H', 'E']",simulating fundamental tax reform in the united states, p01151, david altig
68,"['H', 'E']",simulating fundamental tax reform in the united states, p02346, jan walliser
68,"['H', 'E']",simulating fundamental tax reform in the united states, p02990, kent smetters
68,"['H', 'E']",simulating fundamental tax reform in the united states, p03130, laurence koltikoff
69,"['H', 'F']",is a uniform social policy better? fiscal federalism and factor mobility,p04602,roberto perotti
70,"['D', 'C']",demand systems with and without errors,p00490,arthur lewbel
71,"['J', 'D']",rising u.s. earnings inequality and family labor supply: the covariance structure of intrafamily earnings,p01279,dean hyslop
72,"['J', 'D', 'H']","estimating the effect of unearned income on labor earnings, savings, and consumption: evidence from a survey of lottery players",p00736,bruce sacerdote
72,"['J', 'D', 'H']","estimating the effect of unearned income on labor earnings, savings, and consumption: evidence from a survey of lottery players", p01358, donald rubin
72,"['J', 'D', 'H']","estimating the effect of unearned income on labor earnings, savings, and consumption: evidence from a survey of lottery players", p01986, guido imbens
73,"['O', 'J', 'I']",schooling and labor market consequences of school construction in indonesia: evidence from an unusual policy experiment,p01602,esther duflo
74,"['L', 'J', 'G']",the division of spoils: rent-sharing and discrimination in a regulated industry,p04266,philip strahan
74,"['L', 'J', 'G']",the division of spoils: rent-sharing and discrimination in a regulated industry, p04732, sandra black
75,"['J', 'D']",what accounts for the variation in retirement wealth among u.s. households?,p01372,douglas bernheim
75,"['J', 'D']",what accounts for the variation in retirement wealth among u.s. households?, p02703, jonathan skinner
75,"['J', 'D']",what accounts for the variation in retirement wealth among u.s. households?, p05065, steven weinberg
76,"['L', 'F']",increasing returns versus national product differentiation as an explanation for the pattern of u.s.-canada trade,p02641,john ries
76,"['L', 'F']",increasing returns versus national product differentiation as an explanation for the pattern of u.s.-canada trade, p02963, keith head
77,"['F', 'Q']",is free trade good for the environment?,p00705,brian copeland
77,"['F', 'Q']",is free trade good for the environment?, p04783, scott taylor
77,"['F', 'Q']",is free trade good for the environment?, p05471, werner antweiler
78,"['O', 'L', 'H']",telecommunications infrastructure and economic development: a simultaneous approach,p03105,lars-hendrik roller
78,"['O', 'L', 'H']",telecommunications infrastructure and economic development: a simultaneous approach, p03169, leonard waverman
79,"['O', 'Z', 'J']",social culture and economic performance,p02031,hanming fang
80,"['O', 'D', 'P']",a theory of political transitions,p01145,daron acemoglu
80,"['O', 'D', 'P']",a theory of political transitions, p02321, james robinson
81,['E'],monetary policy rules based on real-time data,p00519,athanasios orphanides
82,"['E', 'C']",testing for the lucas critique: a quantitative investigation,p02471,jesper linde
83,"['L', 'E', 'D']",quantifying quality growth,p03438,mark bils
83,"['L', 'E', 'D']",quantifying quality growth, p04212, peter klenow
84,"['G', 'F']",world income components: measuring and exploiting risk-sharing opportunities,p04577,robert shiller
84,"['G', 'F']",world income components: measuring and exploiting risk-sharing opportunities, p04974, stefano athanasoulis
85,"['G', 'E']",the stock market and capital accumulation,p04544,robert hall
86,"['O', 'G']",the information-technology revolution and the stock market: evidence,p00568,bart hobijn
86,"['O', 'G']",the information-technology revolution and the stock market: evidence, p00681, boyan jovanovic
87,['E'],is the price level determined by the needs of fiscal solvency?,p00584,behzad diba
87,['E'],is the price level determined by the needs of fiscal solvency?, p03569, matthew canzoneri
87,['E'],is the price level determined by the needs of fiscal solvency?, p04529, robert cumby
88,['E'],does money illusion matter?,p01585,ernst fehr
88,['E'],does money illusion matter?, p02417, jean-robert tyran
89,"['G', 'E']",financing investment,p02538,joao gomes
90,"['L', 'G', 'D']",financial markets and firm dynamics,p05198,thomas cooley
