tags,hasConnection,level1_tags,coded_tags,idauthor
"['I', 'H', 'O']","['p00075', 'p02923', 'p02522']","['C', 'J', 'M', 'I', 'H', 'D', 'O']",[0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00001
['H'],['p04319'],['H'],[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],p00003
"['E', 'F', 'O']","['p04645', 'p03521', 'p01781']","['E', 'F', 'N', 'O', 'J', 'G', 'D', 'R', 'C']",[0 0 1 1 1 1 1 0 0 1 0 0 0 1 1 0 0 1 0],p00004
"['G', 'F', 'P', 'O']",['p00511'],"['G', 'F', 'P', 'O']",[0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0],p00006
"['I', 'J', 'O']","['p02923', 'p00110']","['C', 'J', 'M', 'I', 'H', 'O']",[0 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00008
"['P', 'L', 'Z', 'G', 'N', 'C', 'I', 'D', 'R', 'O']","['p00620', 'p03079', 'p00497', 'p04862', 'p02849', 'p04458', 'p05441', 'p01602', 'p03578', 'p03161']","['A', 'K', 'L', 'P', 'Q', 'Z', 'G', 'F', 'N', 'O', 'J', 'M', 'I', 'H', 'D', 'R', 'C']",[1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p00009
"['E', 'F']","['p00690', 'p03132', 'p01634']","['E', 'F', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0],p00010
"['H', 'D', 'L']",['p02281'],"['H', 'D', 'L', 'C']",[0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],p00011
"['D', 'C']","['p04016', 'p04182']","['G', 'D', 'C']",[0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00012
"['K', 'D', 'L']",['p02651'],"['K', 'D', 'L']",[0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0],p00013
"['I', 'Q', 'O']","['p02296', 'p00255']","['Q', 'O', 'I', 'D', 'C']",[0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0],p00014
['G'],[],['G'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00016
['I'],"['p01425', 'p02106']","['K', 'L', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0],p00017
"['I', 'J']","['p04525', 'p04264']","['I', 'J']",[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p00025
"['H', 'D', 'C']","['p03049', 'p04390']","['G', 'E', 'N', 'C', 'J', 'I', 'H', 'D', 'R', 'O']",[0 0 1 1 1 0 1 1 1 1 0 0 0 1 1 0 0 1 0],p00026
"['F', 'D']","['p00238', 'p01155']","['P', 'L', 'E', 'F', 'C', 'J', 'I', 'D', 'R', 'O']",[0 0 1 1 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0],p00028
['C'],"['p00334', 'p05412', 'p04929']","['I', 'C', 'J', 'D']",[0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p00029
"['I', 'L']","['p00240', 'p00244', 'p00828']","['L', 'G', 'F', 'N', 'C', 'J', 'M', 'I', 'H', 'D', 'R', 'O']",[0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 1 0],p00030
"['E', 'F', 'R', 'O']","['p05259', 'p01262', 'p05403']","['L', 'E', 'F', 'J', 'M', 'D', 'R', 'O']",[0 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 0 1 0],p00032
"['L', 'Z', 'E', 'F', 'J', 'G', 'H', 'D', 'O']","['p04390', 'p02512', 'p05143', 'p03486', 'p00525', 'p01280', 'p03108', 'p03777']","['K', 'L', 'Q', 'Z', 'G', 'E', 'F', 'N', 'O', 'J', 'M', 'I', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1],p00033
"['I', 'D']",['p00577'],"['I', 'J', 'G', 'D', 'R']",[0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0],p00034
"['I', 'J', 'C']",[],"['I', 'J', 'C']",[0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p00035
"['E', 'D', 'R']",[],"['E', 'D', 'R']",[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0],p00038
"['F', 'C', 'J', 'M', 'G', 'H', 'D', 'O']","['p00620', 'p00512']","['L', 'Z', 'G', 'E', 'F', 'O', 'J', 'M', 'I', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1],p00040
"['D', 'C']","['p03230', 'p04681', 'p03605']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00044
"['D', 'C']","['p05207', 'p02079']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00045
"['G', 'E', 'R']","['p04622', 'p00780']","['E', 'I', 'J', 'G', 'R', 'O']",[0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 0 1 0],p00046
"['I', 'Q']","['p00736', 'p04777']","['Q', 'J', 'I', 'H', 'D']",[0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0],p00047
"['G', 'E', 'N', 'J', 'M', 'I', 'R', 'O']","['p00390', 'p04802', 'p02764', 'p04732', 'p04391', 'p03405', 'p04924', 'p04853']","['L', 'Z', 'E', 'F', 'N', 'I', 'J', 'M', 'O', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1],p00048
"['G', 'E', 'D', 'O']",['p04950'],"['G', 'E', 'D', 'O']",[0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0],p00049
['E'],[],['E'],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00050
