tags,hasConnection,level1_tags,coded_tags,idauthor
"['I', 'H', 'O']","['p02522', 'p00075', 'p02923']","['D', 'O', 'H', 'I', 'M', 'J', 'C']",[1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00001
['H'],['p04319'],['H'],[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],p00003
"['E', 'F', 'O']","['p03521', 'p04645', 'p01781']","['E', 'D', 'O', 'F', 'N', 'R', 'J', 'C', 'G']",[1 1 1 1 1 0 0 1 0 0 0 1 1 0 0 1 0],p00004
"['G', 'F', 'P', 'O']",['p00511'],"['G', 'F', 'P', 'O']",[0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0],p00006
"['I', 'J', 'O']","['p00110', 'p02923']","['O', 'H', 'I', 'M', 'J', 'C']",[1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00008
"['L', 'D', 'O', 'P', 'N', 'I', 'R', 'C', 'G', 'Z']","['p03079', 'p03161', 'p00497', 'p04862', 'p02849', 'p04458', 'p01602', 'p00620', 'p05441', 'p03578']","['K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'R', 'Q', 'M', 'J', 'C', 'G', 'Z']",[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p00009
"['E', 'F']","['p01634', 'p03132', 'p00690']","['E', 'D', 'F', 'H', 'I', 'J', 'C']",[1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0],p00010
"['D', 'L', 'H']",['p02281'],"['H', 'L', 'D', 'C']",[1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],p00011
"['D', 'C']","['p04016', 'p04182']","['G', 'D', 'C']",[1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00012
"['K', 'L', 'D']",['p02651'],"['K', 'L', 'D']",[0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0],p00013
"['Q', 'I', 'O']","['p02296', 'p00255']","['D', 'O', 'I', 'Q', 'C']",[1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0],p00014
