title_x,idpaper_2,journal,journal_num,year,month,volume,issue,idpaper,jelcodes,keywords,abstract,start_page,end_page,num_words,num_words_90_flag,idauthor,author,prop_women,num_authors,gender_group_type,sole_or_coauthors,num_pages,num_pages_dmean,flesch_kincaid_grade_level,log_flesch_kincaid_grade_level,flesch_kincaid_reading_ease,log_flesch_kincaid_reading_ease,dale_chall,log_dale_chall,coleman_liau_index,log_coleman_liau_index,automated_readability_index,log_automated_readability_index,american_economic_review,econometrica,journal_of_pol_economy,quarterly_journal_of_economics,review_of_economic_studies,coauthors,single_author,both_genders,only_females,only_males,num_sentences,num_syllables,observation,authors,jelcodes_letter,jelcodes_text,jel_dummy_A,jel_dummy_B,jel_dummy_C,jel_dummy_D,jel_dummy_E,jel_dummy_F,jel_dummy_G,jel_dummy_H,jel_dummy_I,jel_dummy_J,jel_dummy_K,jel_dummy_L,jel_dummy_M,jel_dummy_N,jel_dummy_O,jel_dummy_P,jel_dummy_Q,jel_dummy_R,jel_dummy_Y,jel_dummy_Z
1012,"the cyclically of sales, regular and effective prices: business cycle and policy implications",1201510539931029,American Economic Review,1,2015,March,105,3,120000000000.0,,,"We study the cyclical properties of sales, regular price changes, and average prices paid by consumers (effective prices) using data on prices and quantities sold for numerous retailers across many US metropolitan areas. Inflation in the effective prices paid by consumers declines significantly with higher unemployment while little change occurs in the inflation rate of prices posted by retailers. This difference reflects the reallocation of household expenditures across retailers, a feature of the data which we document and quantify, rather than sales. We propose a simple model with household store-switching and assess its implications for business cycles and policymakers.",993,1029,100,1,"['p01846', 'p01846', 'p04010', 'p05643']","['gee hee hong', 'gee hee hong', 'olivier coibion', 'yuriy gorodnichenko']",0.5,4,both_genders,coauthors,36,1.454545455,16.58,2.80819715,20.72,3.031099417,10.8767,2.3866228869999997,16.7084,2.815911587,18.0583,2.893605413,1,0,0,0,0,1,0,1,0,0,4,190,,No results found.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,the econometrics of ultra-high-frequency data,22000681122,Econometrica,2,2000,,68,1,220006811.0,,"Transactions data, point processes, hazard functions, survival models, ACD, volatility, ARCH, GARCH, market micro-structure.",Ultra-high-frequency data is defined to be a full record of transactions and their associated characteristics. The transaction arrival times and accompanying measures can be analyzed as marked point processes. The ACD point process developed by Engle and Russell (1998) is applied to IBM transactions arrival times to develop semiparametric hazard estimates and conditional intensities. Combining these intensities with a GARCH model of prices produces ultra-high-frequency measures of volatility. Both returns and variances are found to be negatively influenced by long durations as suggested by asymmetric information models of market micro-structure.,1,22,95,1,['p04534'],['robert engle'],0.0,1,only_males,single_author,21,-4.4,15.54421053,2.7436882560000004,17.45947368,2.859882406,12.22458421,2.503449023,16.56042105,2.807015575,15.43757895,2.736804728,0,1,0,0,0,0,1,0,0,1,5,191,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,a three-step method for choosing the number of bootstrap repetitions,220006812351,Econometrica,2,2000,,68,1,2200068123.0,,"Bias correction, bootstrap, bootstrap repetitions, confidence interval, hypothesis test, p-value, simulation, standard error estimate.","This paper considers the problem of choosing the number of bootstrap repetitions B for bootstrap standard errors, confidence intervals, confidence regions, hypothesis tests, p-values, and bias correction. For each of these problems, the paper provides a three-step method for choosing B to achieve a desired level of accuracy. Accuracy is measured by the percentage deviation of the bootstrap standard error estimate, confidence interval length, test's critical value, test's p-value, or bias-corrected estimate based on B bootstrap simulations from the corresponding ideal bootstrap quantities for which B = infinity. The results apply quite generally to parametric, semiparametric, and nonparametric models with independent and dependent data. The results apply to the standard nonparametric iid bootstrap, moving block bootstraps for time series data, parametric and semiparametric bootstraps, and bootstraps for regression models based on bootstrapping residuals. Monte Carlo simulations show that the proposed methods work very well.",23,51,148,1,"['p01353', 'p03828']","['donald andrews', 'moshe buchinsky']",0.0,2,only_males,coauthors,28,2.6,16.91243243,2.8280489980000003,17.74292793,2.87598701,12.96834505,2.5625113919999998,17.56486486,2.865900592,18.5904955,2.922650455,0,1,0,0,0,1,0,0,0,1,6,287,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,latent separability: grouping goods without weak separability,220006815384,Econometrica,2,2000,,68,1,2200068153.0,,"Consumer behavior, separability, price aggregation.","This paper develops a new concept of separability with overlapping groups -- latent separability. This is shown to provide a useful empirical and theoretical framework for investigating the grouping of goods and prices. It is a generalization of weak separability in which goods are allowed to enter more than one group and where the composition of groups is identified by the choice of group specific exclusive goods. Latent separability is shown to be equivalent to weak separability in latent rather than purchased goods and provides a relationship between separability and household production theory. For the popular class of linear, almost ideal and translog demand models and their generalizations, we provide a method for choosing the number of homothetic separable groups. A detailed method for exploring the composition of the separable groups is also presented. These methods are applied to a long time series of British individual household data on the consumption of twenty two nondurable and service goods.",53,84,157,1,"['p02402', 'p04486']","['jean-marc robin', 'richard blundell']",0.0,2,only_males,coauthors,31,5.6,15.78007279,2.758747928,21.87509554,3.0853488,10.17991256,2.320416421,14.78955414,2.69392113,15.34428571,2.730743139,0,1,0,0,0,1,0,0,0,1,7,301,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,bargaining and reputation,2200068185117,Econometrica,2,2000,,68,1,2200068185.0,,"War of attrition, delay, incomplete information, independence from procedures, obstinate types.","The paper develops a reputation based theory of bargaining. The idea is to investigate and highlight the influence of bargaining postures on bargaining outcomes. A complete information bargaining model a la Rubinstein is amended to accommodate irrational types who are obstinate, and indeed for tractability assumed to be completely inflexible in their offers and demands. A strong independence of procedures result is derived: after initial postures have been adopted, the bargaining outcome is independent of the fine details of the bargaining protocol so long as both players have the opportunity to make offers frequently. The latter analysis yields a unique continuous-time limit with a war of attrition structure. In the continuous-time game, equilibrium is unique, and entails delay, consequently inefficiency. The equilibrium outcome reflects the combined influence of the rates of time preference of the players and the ex ante probabilities of different irrational types. As the probability of irrationality goes to zero, delay and inefficiency disappear; furthermore, if there is a rich set of types for both agents, the limit equilibrium payoffs are inversely proportional to their rates of time preference.",85,117,184,1,"['p01321', 'p01659']","['dilip abreu', 'faruk gul']",0.0,2,only_males,coauthors,32,6.6,16.01804348,2.7737158039999996,21.18673913,3.053375473,11.89996304,2.476535295,15.44478261,2.737271251,16.12858696,2.780593285,0,1,0,0,0,1,0,0,0,1,8,353,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,optimal contracts when enforcement is a decision variable,22000681119134,Econometrica,2,2000,,68,1,22000681119.0,,"Contracts, enforcement, limited commitment, costly state verification, debt, stochastic monitoring, time consistency, renegotiation.","This paper analyzes choice-theoretic costly enforcement in an intertemporal contracting model with a differentially informed investor and entrepreneur. An intertemporal contract is modeled as a mechanism in which there is limited commitment to payment and enforcement decisions. The goal of the analysis is to characterize the effect of choice-theoretic costly enforcement on the structure of optimal contracts. The paper shows that simple debt is the optimal contract when commitment is limited and costly enforcement is a decision variable (Theorem 1). In contrast, stochastic contracts are optimal when agents can commit to the ex-ante optimal decisions (Theorem 2). The paper also shows that the costly state verification model can be viewed as a reduced form of an enforcement model in which agents choose payments and strategies as part of a perfect Bayesian Nash equilibrium.",119,134,136,1,"['p00405', 'p04964']","['anne villamil', 'stefan krasa']",0.5,2,both_genders,coauthors,15,-10.4,14.50735294,2.67465562,31.42392157,3.447569436,12.07525196,2.491158066,14.62882353,2.682993797,15.3927451,2.733896301,0,1,0,0,0,1,0,1,0,0,6,245,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,inflation and welfare,22000682247274,Econometrica,2,2000,,68,2,22000682247.0,,"Inflation, welfare, interest rates, monetary policy.","This paper surveys research on the welfare cost of inflation. New estimates are provided, based on U.S. time series for 1900-94, interpreted in a variety of ways. It is estimated that the gain from reducing the annual inflation rate from 10 percent to zero is equivalent to an increase in real income of slightly less than one percent. Using aggregate evidence only, it may not be possible to estimate reliably the gains from reducing inflation further, to a rate consistent with zero nominal interest.",247,274,85,0,['p04556'],['robert lucas'],0.0,1,only_males,single_author,27,-2.0,12.13279412,2.495912044,45.92507353,3.827011232,10.82073529,2.381464228,10.616,2.3623622969999998,11.91382353,2.477699367,0,1,0,0,0,0,1,0,0,1,4,140,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,"mortgage terminations, heterogeneity and the exercise of mortgage options",22000682275307,Econometrica,2,2000,,68,2,22000682275.0,,"Mortgage default, prepayment, dependent competing risks, mortgage pricing.","As applied to the behavior of homeowners with mortgages, option theory predicts that mortgage prepayment or default will be exercised if the call or put option is in the money by some specific amount. Our analysis: tests the extent to which the option approach can explain default and prepayment behavior; evaluates the practical importance of modeling both options simultaneously; and models the unobserved heterogeneity of borrowers in the home mortgage market. The paper presents a unified model of the competing risks of mortgage termination by prepayment and default, considering the two hazards as dependent competing risks that are estimated jointly. It also accounts for the unobserved heterogeneity among borrowers, and estimates the unobserved heterogeneity simultaneously with the parameters and baseline hazards associated with prepayment and default functions. Our results show that the option model, in its most straightforward version, does a good job of explaining default and prepayment, but it is not enough by itself. The simultaneity of the options is very important empirically in explaining behavior. The results also show that there exists significant heterogeneity among mortgage borrowers. Ignoring this heterogeneity results in serious errors in estimating the prepayment behavior of homeowners.",275,307,193,1,"['p02638', 'p04589', 'p05602']","['john quigley', 'robert van order', 'yongheng deng']",0.0,3,only_males,coauthors,32,3.0,17.357610100000002,2.854031033,13.58646697,2.609074222,11.86905855,2.473934892,16.85160622,2.824445977,17.76990933,2.87750654,0,1,0,0,0,1,0,0,0,1,8,385,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,mechanism design with collusion and correlation,22000682309342,Econometrica,2,2000,,68,2,22000682309.0,,"Mechanism design, collusion, correlation.","In a public good environment with positively correlated types, we characterize optimal mechanisms when agents have private information and can enter collusive agreements. First, we prove a weak-collusion-proof principle according to which there is no restriction for the principal in offering weak-collusion-proof mechanisms. Second, with this principle, we characterize the set of allocations that satisfy individual and coalitional incentive constraints. The optimal weakly collusion-proof mechanism calls for distortions away from first-best efficiency obtained without collusion. Allowing collusion restores continuity between the correlated and the uncorrelated environments. When the correlation becomes almost perfect, first-best efficiency is approached. Finally, the optimal collusion-proof mechanism is strongly ratifiable.",309,342,112,1,"['p01219', 'p02399']","['david martimort', 'jean-jacques laffont']",0.0,2,only_males,coauthors,33,4.0,15.83035714,2.761929435,10.06464286,2.309028575,12.04313571,2.4884948469999997,19.5725,2.97412552,16.38598214,2.796426222,0,1,0,0,0,1,0,0,0,1,7,239,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,sample splitting and threshold estimation,22000683575603,Econometrica,2,2000,,68,3,22000683575.0,,"Confidence intervals, nonlinear regression, growth regressions, regime shifts.","Threshold models have a wide variety of applications in economics. Direct applications include models of separating and multiple equilibria. Other applications include empirical sample splitting when the sample split is based on a continuously-distributed variable such as firm size. In addition, threshold models may be used as a parsimonious strategy for nonparametric function estimation. For example, the threshold autoregressive model (TAR) is popular in the nonlinear time series literature. Threshold models also emerge as special cases of more complex statistical frameworks, such as mixture models, switching models, Markov switching models, and smooth transition threshold models. It may be important to understand the statistical properties of threshold models as a preliminary step in the development of statistical tools to handle these more complicated structures. Despite the large number of potential applications, the statistical theory of threshold estimation is undeveloped. It is known that threshold estimates are super-consistent, but a distribution theory useful for testing and inference has yet to be provided. This paper develops a statistical theory for threshold estimation in the regression context. We allow for either cross-section or time series observations. Least squares estimation of the regression parameters is considered. An asymptotic distribution theory for the regression estimates (the threshold and the regression slopes) is developed. It is found that the distribution of the threshold estimate is nonstandard. A method to construct asymptotic confidence intervals is developed by inverting the likelihood ratio statistic. It is shown that this yields asymptotically conservative confidence regions. Monte Carlo simulations are presented to assess the accuracy of the asymptotic approximations. The empirical relevance of the theory is illustrated through an application to the multiple equilibria growth model of Durlauf and Johnson (1995).",575,603,282,1,['p00731'],['bruce hansen'],0.0,1,only_males,single_author,28,-10.5,14.49659574,2.673913846,19.03333333,2.946191828,12.19658085,2.501155654,17.11106383,2.839725262,14.34599291,2.663470663,0,1,0,0,0,0,1,0,0,1,18,573,[],,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
